Medicine_Name,Current_Stock,Days_Until_Expiry,Average_Daily_Usage
Gabapentin,238,275,0.91
Lumefantrine,174,186,1.01
Loratadine,132,151,0.8
Valproate,302,312,0.96
Risperidone,324,183,1.7
Linezolid,7,309,0.02
Ethambutol,89,200,0.38
Doxycycline,459,119,3.82
Ranitidine,212,222,1.04
Clozapine,292,324,0.77
Cefixime,179,58,2.47
Tamsulosin,479,129,3.57
Olanzapine,212,179,1.2
Rifampicin,424,156,2.31
Lumefantrine,50,205,0.23
Beclomethasone,367,278,1.16
Insulin,495,346,1.3
Amoxicillin,394,303,1.44
Paracetamol,400,247,1.78
Montelukast,13,216,0.07
Oseltamivir,250,255,0.87
Ethambutol,409,185,2.37
Alprazolam,249,187,1.54
Noradrenaline,119,240,0.49
Oseltamivir,176,292,0.52
Acyclovir,13,183,0.08
Mebendazole,265,48,5.02
Omeprazole,244,214,0.99
Piperacillin,147,83,1.94
Beclomethasone,298,188,1.8
Warfarin,336,68,4.68
Mebendazole,360,243,1.32
Salmeterol,86,18,5.47
Azithromycin,208,324,0.66
Noradrenaline,438,73,5.85
Simvastatin,61,64,0.78
Omeprazole,355,243,1.27
Tramadol,475,46,9.21
Lorazepam,401,356,1.02
Midazolam,411,304,1.59
Omeprazole,81,275,0.27
Furosemide,92,218,0.5
Rifampicin,458,271,1.92
Granisetron,419,292,1.47
Montelukast,316,229,1.46
Atorvastatin,86,80,1.18
Amoxicillin,410,90,5.03
Chlorpheniramine,39,175,0.25
Salmeterol,342,38,10.35
Linezolid,135,123,1.2
Hydrochlorothiazide,454,49,8.03
Budesonide,41,208,0.16
Cefixime,358,301,1.08
Lorazepam,398,282,1.32
Omeprazole,496,120,3.88
Acyclovir,284,146,2.28
Valproate,150,31,4.6
Mebendazole,112,170,0.64
Norfloxacin,497,211,1.99
Vitamin D,218,352,0.54
Nitrofurantoin,66,198,0.31
Naproxen,417,330,1.31
Diazepam,251,87,3.29
Artemether,241,210,1.18
Lorazepam,153,87,2.08
Warfarin,81,175,0.46
Ceftriaxone,395,334,1.1
Alprazolam,204,109,2.02
Lorazepam,127,50,2.49
Isoniazid,342,31,12.87
Vitamin D,169,332,0.41
Granisetron,80,313,0.23
Dexamethasone,336,254,1.14
Naproxen,13,197,0.06
Montelukast,70,262,0.23
Morphine,29,276,0.1
Salbutamol,481,74,6.47
Diclofenac,136,332,0.42
Spironolactone,99,200,0.41
Simvastatin,219,168,1.06
Dopamine,409,133,2.7
Cefixime,184,10,20.66
Granisetron,480,344,1.34
Escitalopram,361,191,2.19
Noradrenaline,460,12,32.99
Lithium,340,332,0.85
Metformin,27,206,0.13
Insulin,49,119,0.43
Carbamazepine,493,286,1.51
Ivermectin,38,107,0.29
Lorazepam,108,153,0.64
Warfarin,8,299,0.03
Olanzapine,387,280,1.65
Tamsulosin,352,362,0.95
Cefixime,415,215,1.83
Cyclizine,245,359,0.63
Beclomethasone,257,15,18.24
Diclofenac,264,31,10.13
Morphine,454,196,2.1
Valproate,466,225,2.11
Omeprazole,286,252,1.21
Midazolam,464,50,7.45
Amlodipine,203,82,2.48
Fluoxetine,368,29,10.79
Cyclizine,166,206,0.67
Domperidone,103,104,1.14
Tamsulosin,377,305,1.37
Metronidazole,321,48,5.52
Spironolactone,491,84,5.91
Diazepam,106,363,0.28
Metronidazole,480,162,2.82
Omeprazole,490,364,1.2
Warfarin,97,302,0.33
Clozapine,228,88,2.58
Cetirizine,85,142,0.63
Cyclizine,65,129,0.52
Ciprofloxacin,495,190,2.76
Dopamine,312,359,0.98
Cyclizine,320,306,1.15
Losartan,132,89,1.3
Ceftriaxone,119,111,1.07
Salmeterol,468,318,1.45
Losartan,257,239,0.93
Salbutamol,367,20,18.32
Clozapine,490,326,1.58
Noradrenaline,156,123,1.37
Atorvastatin,52,70,0.71
Diazepam,418,188,1.82
Chloroquine,363,210,1.94
Linezolid,119,311,0.38
Lithium,117,137,0.85
Gabapentin,485,97,5.6
Ondansetron,53,265,0.23
Ivermectin,235,71,3.25
Ceftriaxone,46,11,4.9
Isoniazid,266,228,1.07
Pantoprazole,212,88,2.04
Ivermectin,113,52,2.03
Fluoxetine,266,165,1.73
Tazobactam,456,185,2.4
Phenytoin,119,195,0.69
Erythromycin,252,224,1.14
Diazepam,172,229,0.63
Ivermectin,185,241,0.79
Mebendazole,458,177,2.33
Granisetron,416,270,1.33
Tazobactam,223,207,0.9
Montelukast,115,72,1.81
Ketoconazole,183,31,6.97
Diazepam,212,30,8.46
Pantoprazole,387,87,4.04
Salmeterol,229,98,2.23
Montelukast,240,213,1.18
Oseltamivir,354,301,1.17
Insulin,487,252,2.07
Levofloxacin,17,153,0.1
Hydroxychloroquine,14,267,0.05
Fentanyl,204,58,3.08
Azithromycin,464,151,3.28
Hydrochlorothiazide,19,231,0.07
Phenylephrine,155,97,1.9
Warfarin,229,120,1.94
Olanzapine,86,195,0.52
Amlodipine,92,121,0.81
Isoniazid,28,169,0.15
Cetirizine,423,229,2.14
Simvastatin,286,204,1.5
Tamsulosin,331,27,11.4
Gabapentin,477,354,1.14
Tazobactam,402,106,3.36
Hydroxychloroquine,499,361,1.16
Domperidone,471,339,1.58
Pyrazinamide,9,17,0.45
Vitamin D,268,277,1.1
Mebendazole,15,221,0.06
Erythromycin,12,128,0.1
Tramadol,186,120,1.59
Sertraline,102,14,6.05
Lithium,274,239,1.17
Haloperidol,439,286,1.24
Olanzapine,291,97,2.64
Clopidogrel,499,90,6.49
Sertraline,194,42,5.33
Tazobactam,355,93,3.8
Cetirizine,441,101,5.03
Erythromycin,351,276,1.48
Ceftriaxone,268,230,1.04
Lisinopril,102,316,0.32
Theophylline,88,208,0.34
Mebendazole,340,348,0.89
Salmeterol,45,90,0.55
Ethambutol,209,195,1.17
Pseudoephedrine,434,24,17.64
Erythromycin,329,288,1.3
Quetiapine,365,10,32.46
Azithromycin,351,286,1.29
Sertraline,234,198,1.38
Metronidazole,240,148,1.85
Omeprazole,218,42,6.19
Domperidone,10,244,0.05
Vancomycin,28,276,0.11
Loratadine,485,73,5.83
Phenylephrine,472,163,2.79
Dexamethasone,355,101,3.93
Simvastatin,4,249,0.02
Adrenaline,233,144,1.71
Erythromycin,370,294,1.3
Phenytoin,380,207,2.06
Ibuprofen,259,133,1.67
Metformin,230,188,0.99
Chlorpheniramine,278,219,1.08
Doxycycline,258,188,1.33
Paracetamol,448,113,4.56
Acyclovir,276,191,1.21
Dexamethasone,332,307,1.2
Calcium Carbonate,451,326,1.27
Chloroquine,101,171,0.49
Azithromycin,16,93,0.15
Omeprazole,178,199,0.86
Diazepam,251,41,5.05
Erythromycin,43,343,0.13
Simvastatin,181,320,0.66
Budesonide,81,54,1.64
Diazepam,272,176,1.37
Noradrenaline,160,264,0.53
Azithromycin,32,204,0.14
Formoterol,219,231,1.03
Lisinopril,29,110,0.23
Insulin,385,140,2.37
Cetirizine,184,345,0.43
Naloxone,86,49,1.56
Tazobactam,329,72,4.74
Doxycycline,452,237,1.78
Zinc Acetate,312,240,1.55
Nitrofurantoin,442,336,1.51
Sertraline,43,59,0.87
Noradrenaline,256,334,0.8
Ofloxacin,440,115,4.18
Adrenaline,220,252,0.83
Cefixime,156,214,0.75
Pantoprazole,366,118,3.65
Cetirizine,231,30,9.02
Vancomycin,347,88,4.55
Spironolactone,120,255,0.42
Gabapentin,195,133,1.56
Ketoconazole,142,186,0.87
Domperidone,251,24,9.47
Mebendazole,25,195,0.15
Granisetron,150,161,0.84
Cefixime,35,155,0.2
Diazepam,276,105,3.15
Sertraline,140,261,0.57
Atorvastatin,333,193,1.89
Pyrazinamide,85,242,0.3
Levothyroxine,235,172,1.55
Carbamazepine,278,170,1.93
Chlorpheniramine,420,106,4.61
Carbamazepine,155,136,1.08
Naproxen,56,303,0.17
Lithium,309,177,1.91
Diclofenac,332,329,0.86
Naproxen,494,104,5.07
Tamsulosin,135,328,0.49
Lorazepam,329,352,0.83
Fentanyl,29,329,0.1
Nitrofurantoin,285,202,1.21
Artemether,91,267,0.33
Morphine,164,20,9.75
Calcium Carbonate,404,221,1.58
Loratadine,265,203,1.14
Domperidone,140,193,0.67
Carbamazepine,489,102,5.43
Ranitidine,383,61,5.09
Prednisone,17,52,0.38
Calcium Carbonate,381,267,1.52
Haloperidol,44,287,0.17
Omeprazole,102,121,0.78
Escitalopram,93,337,0.31
Fentanyl,310,46,7.39
Azithromycin,378,336,1.21
Tramadol,226,34,6.49
Betamethasone,57,197,0.24
Meropenem,247,160,1.49
Piperacillin,129,229,0.46
Pyrazinamide,298,165,1.51
Ondansetron,369,288,1.28
Phenylephrine,146,246,0.49
Isoniazid,324,332,0.79
Mebendazole,26,234,0.1
Dopamine,264,335,0.93
Clotrimazole,341,340,1.05
Cetirizine,30,118,0.21
Phenytoin,291,135,2.39
Isoniazid,23,180,0.14
Metronidazole,248,81,3.59
Hydrochlorothiazide,165,29,6.3
Granisetron,478,206,2.35
Piperacillin,208,213,1.02
Warfarin,232,338,0.68
Codeine,318,252,1.27
Clotrimazole,304,114,2.64
Furosemide,424,321,1.44
Levofloxacin,42,175,0.19
Haloperidol,467,195,2.59
Linezolid,393,307,1.36
Olanzapine,149,285,0.6
Hydrochlorothiazide,317,23,15.56
Spironolactone,285,199,1.24
Alprazolam,374,333,1.27
Naproxen,449,34,12.68
Lumefantrine,172,103,1.84
Isoniazid,319,81,4.0
Budesonide,154,95,1.43
Atorvastatin,407,202,1.92
Chloroquine,72,81,1.06
Nitrofurantoin,163,270,0.69
Ofloxacin,377,271,1.52
Meropenem,333,317,1.17
Hydrochlorothiazide,179,307,0.63
Lithium,316,331,1.01
Norfloxacin,124,351,0.33
Azithromycin,349,299,1.27
Clozapine,96,97,1.07
Granisetron,194,109,1.81
Amlodipine,424,217,2.24
Haloperidol,361,124,2.71
Midazolam,56,33,1.64
Clopidogrel,463,110,4.84
Chlorpheniramine,95,149,0.57
Simvastatin,458,271,1.92
Clopidogrel,3,333,0.01
Vitamin D,330,356,1.02
Ceftriaxone,90,134,0.55
Quetiapine,6,149,0.04
Loratadine,67,194,0.29
Amoxicillin,80,178,0.42
Betamethasone,387,175,2.41
Phenylephrine,417,114,3.69
Linezolid,271,16,14.89
Cefixime,409,94,3.87
Tamsulosin,336,131,2.64
Ivermectin,355,207,1.79
Piperacillin,147,230,0.74
Levothyroxine,165,28,5.37
Warfarin,499,47,11.05
Piperacillin,328,234,1.21
Dexamethasone,351,358,0.85
Mebendazole,404,228,1.81
Prednisone,220,195,1.02
Oseltamivir,175,14,11.86
Warfarin,87,272,0.34
Nitrofurantoin,181,166,0.99
Isoniazid,46,294,0.17
Lorazepam,74,79,1.04
Salbutamol,70,10,5.87
Erythromycin,2,68,0.03
Chlorpheniramine,62,211,0.34
Naloxone,156,164,1.02
Morphine,337,316,0.95
Quetiapine,281,19,17.19
Ivermectin,328,307,1.01
Ranitidine,259,227,0.93
Ceftriaxone,460,123,3.27
Pantoprazole,476,197,2.87
Pseudoephedrine,423,34,13.48
Nitrofurantoin,356,145,2.73
Theophylline,356,113,2.58
Hydroxychloroquine,395,288,1.41
Linezolid,65,341,0.2
Ceftriaxone,110,72,1.44
Chloroquine,460,216,2.41
Alprazolam,323,348,0.8
Valproate,107,126,0.85
Simvastatin,379,309,1.23
Morphine,284,318,0.9
Rifampicin,187,307,0.6
Zinc Acetate,94,64,1.34
Paracetamol,205,30,7.74
Adrenaline,326,187,1.52
Montelukast,338,230,1.61
Budesonide,28,206,0.15
Chlorpheniramine,477,344,1.55
Chloroquine,103,107,1.13
Cyclizine,243,13,21.44
Metformin,432,223,2.04
Escitalopram,104,174,0.61
Codeine,47,360,0.13
Clopidogrel,463,312,1.5
Acyclovir,196,313,0.66
Tamsulosin,448,84,4.92
Naloxone,52,90,0.56
Pyrazinamide,435,11,34.66
Diazepam,9,229,0.05
Loratadine,62,21,3.11
Salbutamol,404,199,2.07
Tazobactam,54,53,0.84
Metformin,362,108,3.8
Loratadine,69,194,0.35
Calcium Carbonate,245,29,7.24
Ofloxacin,64,335,0.2
Zinc Acetate,346,361,0.91
Escitalopram,56,157,0.35
Domperidone,357,214,1.78
Simvastatin,230,73,2.7
Lorazepam,221,203,1.05
Warfarin,395,231,1.53
Lisinopril,337,40,6.98
Levofloxacin,175,314,0.48
Theophylline,462,213,1.97
Prednisone,91,319,0.25
Budesonide,198,30,6.21
Lorazepam,169,178,1.02
Codeine,103,152,0.71
Betamethasone,169,99,1.44
Prednisone,402,62,7.55
Meropenem,394,210,1.89
Spironolactone,299,127,2.18
Ofloxacin,308,344,0.98
Amlodipine,401,298,1.31
Betamethasone,431,32,14.88
Azithromycin,171,136,1.12
Morphine,295,69,4.97
Beclomethasone,460,122,3.85
Amlodipine,182,363,0.5
Cetirizine,243,197,1.03
Ofloxacin,80,316,0.26
Ranitidine,348,329,1.06
Alprazolam,161,280,0.56
Midazolam,170,290,0.56
Pantoprazole,210,143,1.58
Ceftriaxone,108,299,0.36
Gabapentin,471,97,3.97
Diazepam,469,303,1.42
Alprazolam,435,59,6.45
Nitrofurantoin,195,208,0.78
Noradrenaline,407,80,5.56
Clotrimazole,330,94,2.98
Linezolid,14,341,0.05
Ciprofloxacin,315,112,3.19
Isoniazid,315,242,1.1
Ibuprofen,463,41,12.06
Phenytoin,498,107,4.02
Furosemide,278,234,1.16
Levothyroxine,461,142,2.62
Loratadine,452,11,36.64
Ranitidine,50,111,0.48
Simvastatin,315,287,1.24
Amoxicillin,219,133,1.5
Insulin,374,279,1.49
Tamsulosin,19,18,1.08
Midazolam,78,349,0.21
Lithium,281,253,1.25
Losartan,148,260,0.47
Noradrenaline,469,15,27.85
Meropenem,232,228,0.82
Fentanyl,478,241,2.08
Amoxicillin,260,38,5.56
Adrenaline,196,83,2.5
Amoxicillin,390,114,3.24
Erythromycin,74,330,0.27
Diclofenac,65,200,0.26
Chlorpheniramine,231,80,2.65
Loratadine,47,302,0.13
Ranitidine,404,234,1.86
Escitalopram,254,281,0.81
Artemether,72,312,0.25
Cyclizine,457,364,1.14
Beclomethasone,257,41,5.16
Cefixime,108,246,0.38
Meropenem,56,39,1.17
Beclomethasone,58,196,0.32
Ondansetron,13,248,0.04
Spironolactone,115,199,0.68
Ibuprofen,393,157,2.61
Pseudoephedrine,234,309,0.76
Noradrenaline,58,63,1.08
Omeprazole,103,293,0.42
Salbutamol,456,361,1.17
Omeprazole,435,248,1.93
Olanzapine,323,37,8.81
Zinc Acetate,399,112,3.85
Pyrazinamide,12,128,0.09
Fluoxetine,169,349,0.52
Carbamazepine,277,26,10.53
Tramadol,53,43,0.99
Metronidazole,351,262,1.37
Sertraline,154,19,9.46
Isoniazid,216,151,1.44
Ketoconazole,48,284,0.14
Metronidazole,25,157,0.13
Loratadine,367,173,1.79
Risperidone,393,47,8.25
Diazepam,134,270,0.55
Risperidone,20,60,0.38
Morphine,221,239,0.8
Cefixime,295,71,3.38
Diclofenac,60,108,0.66
Linezolid,172,361,0.56
Spironolactone,246,215,1.23
Pyrazinamide,90,251,0.32
Haloperidol,277,29,8.74
Tazobactam,415,136,2.53
Theophylline,366,63,4.83
Nitrofurantoin,125,264,0.57
Ceftriaxone,356,280,1.13
Amlodipine,475,216,1.87
Olanzapine,196,196,1.04
Levothyroxine,354,228,1.64
Quetiapine,310,259,1.14
Diclofenac,110,230,0.41
Rifampicin,251,185,1.1
Lisinopril,236,205,1.12
Rifampicin,93,324,0.28
Clozapine,402,138,2.77
Azithromycin,416,300,1.31
Noradrenaline,345,236,1.57
Betamethasone,291,21,11.68
Midazolam,30,355,0.1
Carbamazepine,206,236,1.01
Chloroquine,141,86,1.33
Fentanyl,166,270,0.53
Calcium Carbonate,35,345,0.12
Risperidone,59,19,3.45
Salmeterol,228,338,0.66
Insulin,408,40,11.64
Lithium,139,326,0.38
Pantoprazole,441,79,5.15
Vitamin D,88,169,0.48
Escitalopram,131,79,1.57
Noradrenaline,129,110,1.39
Formoterol,493,236,2.47
Artemether,184,198,0.94
Ibuprofen,146,154,1.02
Levofloxacin,102,154,0.57
Lithium,338,229,1.59
Betamethasone,132,330,0.45
Norfloxacin,431,258,1.83
Chloroquine,376,59,6.43
Naloxone,77,68,0.98
Olanzapine,127,80,1.73
Linezolid,238,126,1.84
Naproxen,334,164,1.9
Calcium Carbonate,294,334,0.81
Betamethasone,291,245,1.29
Furosemide,254,299,0.73
Clopidogrel,286,362,0.88
Montelukast,237,52,5.07
Theophylline,178,107,1.95
Risperidone,241,178,1.24
Clopidogrel,330,332,1.14
Furosemide,316,247,1.11
Tazobactam,364,92,3.34
Mebendazole,340,103,3.44
Ivermectin,216,124,1.4
Hydrochlorothiazide,42,124,0.34
Hydrochlorothiazide,271,114,2.19
Linezolid,241,283,0.79
Haloperidol,271,334,0.94
Calcium Carbonate,83,251,0.34
Clozapine,481,130,3.77
Lumefantrine,161,133,1.1
Atorvastatin,484,83,5.83
Gabapentin,35,344,0.1
Domperidone,437,175,2.3
Tinidazole,330,293,0.95
Hydrochlorothiazide,380,246,1.65
Ranitidine,425,63,6.91
Phenytoin,459,252,1.8
Linezolid,66,185,0.29
Cefixime,284,340,0.83
Clozapine,134,255,0.45
Naproxen,88,348,0.28
Dexamethasone,264,201,1.26
Ethambutol,330,161,2.45
Prednisone,427,358,1.43
Morphine,194,80,2.52
Lumefantrine,29,73,0.44
Lumefantrine,115,222,0.48
Sertraline,392,151,2.42
Diazepam,474,64,7.19
Lorazepam,74,248,0.32
Lithium,450,134,4.03
Clopidogrel,38,216,0.15
Phenytoin,204,49,3.51
Valproate,87,264,0.33
Diazepam,306,43,8.37
Spironolactone,13,321,0.03
Lumefantrine,462,69,7.07
Tazobactam,255,10,27.41
Quetiapine,445,159,3.23
Olanzapine,58,222,0.31
Risperidone,485,180,2.83
Pantoprazole,426,323,1.52
Noradrenaline,44,84,0.51
Hydrochlorothiazide,474,269,1.65
Ondansetron,121,44,2.42
Dexamethasone,72,132,0.54
Rifampicin,312,126,2.62
Phenytoin,325,116,2.28
Morphine,14,192,0.07
Cetirizine,229,29,7.41
Erythromycin,57,131,0.39
Diazepam,297,83,4.02
Ciprofloxacin,64,334,0.16
Tazobactam,484,10,47.59
Ketoconazole,427,26,18.37
Vitamin D,138,355,0.36
Sertraline,248,181,1.46
Furosemide,449,346,1.45
Meropenem,40,245,0.17
Levofloxacin,251,319,0.87
Domperidone,308,170,1.88
Spironolactone,21,42,0.43
Chloroquine,336,264,1.32
Tamsulosin,233,240,0.98
Doxycycline,45,178,0.27
Lorazepam,440,171,2.87
Noradrenaline,263,160,1.44
Montelukast,94,125,0.83
Erythromycin,459,171,2.16
Morphine,78,305,0.29
Lisinopril,105,175,0.59
Risperidone,320,295,1.25
Escitalopram,427,346,1.33
Oseltamivir,104,85,1.3
Lisinopril,200,351,0.54
Ofloxacin,402,276,1.38
Granisetron,67,132,0.61
Salmeterol,375,271,1.46
Loratadine,113,189,0.48
Calcium Carbonate,175,184,0.83
Amoxicillin,332,250,1.23
Phenytoin,66,36,2.14
Noradrenaline,220,173,1.34
Losartan,44,14,3.5
Furosemide,135,35,4.0
Ofloxacin,91,331,0.3
Pantoprazole,282,10,22.99
Paracetamol,115,224,0.5
Domperidone,469,247,2.26
Clopidogrel,150,162,1.06
Linezolid,86,100,0.87
Amlodipine,14,342,0.04
Doxycycline,68,152,0.51
Norfloxacin,435,163,2.22
Midazolam,317,214,1.34
Dexamethasone,364,337,1.16
Clozapine,486,33,12.69
Fentanyl,23,201,0.13
Pantoprazole,208,339,0.53
Midazolam,455,64,7.49
Dexamethasone,169,94,1.81
Lisinopril,494,333,1.37
Chloroquine,449,77,6.71
Dopamine,374,168,2.17
Azithromycin,155,133,1.31
Budesonide,102,357,0.24
Insulin,156,143,1.21
Ciprofloxacin,438,78,4.71
Codeine,255,158,1.47
Norfloxacin,16,43,0.42
Clopidogrel,86,17,6.05
Gabapentin,99,212,0.45
Ranitidine,278,91,2.61
Clopidogrel,96,100,0.78
Phenylephrine,358,360,0.89
Valproate,489,222,2.14
Amoxicillin,288,219,1.17
Artemether,464,353,1.22
Calcium Carbonate,204,182,1.19
Atorvastatin,484,199,1.95
Cefixime,80,14,5.45
Mebendazole,254,249,0.97
Lorazepam,310,232,1.23
Morphine,131,85,1.5
Azithromycin,423,305,1.61
Losartan,198,75,2.44
Budesonide,225,355,0.58
Cyclizine,305,235,1.25
Phenytoin,262,45,5.32
Tamsulosin,387,301,1.31
Diclofenac,498,279,1.46
Piperacillin,348,90,3.74
Nitrofurantoin,294,306,0.84
Piperacillin,21,145,0.15
Meropenem,330,48,6.67
Gabapentin,14,97,0.16
Haloperidol,121,263,0.46
Isoniazid,224,304,0.82
Metformin,222,25,8.93
Salbutamol,288,36,8.66
Tramadol,448,114,3.49
Norfloxacin,362,145,2.02
Paracetamol,340,290,1.4
Ranitidine,145,211,0.82
Artemether,424,289,1.18
Amlodipine,242,340,0.76
Tinidazole,232,94,2.54
Atorvastatin,377,334,1.17
Tinidazole,87,14,7.13
Pseudoephedrine,83,287,0.31
Haloperidol,420,191,2.12
Cyclizine,97,304,0.29
Olanzapine,55,162,0.34
Doxycycline,303,324,1.09
Naloxone,240,128,2.0
Clotrimazole,234,196,1.25
Norfloxacin,314,331,0.95
Domperidone,183,362,0.46
Carbamazepine,28,79,0.37
Beclomethasone,237,140,1.39
Pseudoephedrine,377,186,2.03
Ranitidine,243,353,0.78
Granisetron,468,64,6.98
Risperidone,338,40,6.84
Mebendazole,238,111,2.09
Warfarin,64,183,0.41
Ethambutol,88,60,1.47
Betamethasone,237,312,0.69
Escitalopram,451,175,2.37
Pyrazinamide,64,328,0.22
Norfloxacin,486,271,1.5
Ibuprofen,226,165,1.42
Clopidogrel,295,117,2.97
Artemether,246,150,1.9
Hydroxychloroquine,324,298,0.99
Ceftriaxone,131,50,2.99
Amlodipine,287,107,2.92
Dopamine,282,310,0.9
Warfarin,420,349,1.01
Norfloxacin,61,310,0.19
Naloxone,10,118,0.1
Cyclizine,201,30,7.61
Spironolactone,78,46,1.48
Linezolid,108,154,0.58
Ofloxacin,399,64,7.02
Spironolactone,164,157,1.22
Clozapine,197,105,1.7
Prednisone,105,36,3.39
Piperacillin,139,133,0.85
Mebendazole,353,292,1.08
Alprazolam,37,288,0.14
Omeprazole,343,176,2.3
Quetiapine,260,205,1.04
Spironolactone,244,97,3.01
Cefixime,124,214,0.48
Lithium,92,327,0.32
Chloroquine,235,330,0.58
Hydrochlorothiazide,148,102,1.48
Cefixime,427,104,4.06
Valproate,378,106,4.2
Meropenem,106,97,1.12
Betamethasone,284,128,2.57
Ranitidine,328,155,1.92
Pantoprazole,238,247,0.89
Norfloxacin,73,195,0.37
Ranitidine,29,308,0.11
Naproxen,80,308,0.28
Lisinopril,17,76,0.24
Erythromycin,206,327,0.62
Ciprofloxacin,45,231,0.22
Pseudoephedrine,231,178,1.16
Salmeterol,476,212,2.14
Ofloxacin,463,205,2.26
Ketoconazole,261,259,0.89
Ofloxacin,228,103,2.14
Metronidazole,252,207,1.33
Naloxone,178,199,0.97
Diclofenac,191,230,0.87
Amlodipine,369,113,2.88
Losartan,15,302,0.04
Olanzapine,158,219,0.79
Fluoxetine,296,123,2.46
Furosemide,198,98,2.32
Lumefantrine,219,296,0.71
Metformin,28,158,0.19
Clopidogrel,470,69,8.11
Montelukast,1,350,0.0
Dexamethasone,71,284,0.29
Amlodipine,479,272,1.44
Amlodipine,237,50,4.58
Losartan,347,219,1.38
Noradrenaline,109,11,10.48
Ciprofloxacin,489,304,1.72
Alprazolam,392,44,7.83
Metronidazole,328,97,2.76
Gabapentin,38,12,3.4
Phenylephrine,357,104,3.2
Warfarin,376,178,2.52
Dopamine,75,248,0.28
Diclofenac,98,102,1.12
Levofloxacin,291,128,2.26
Amoxicillin,67,48,1.31
Chloroquine,404,199,2.41
Risperidone,14,24,0.58
Chlorpheniramine,453,20,23.01
Tamsulosin,56,271,0.24
Rifampicin,55,145,0.4
Tinidazole,21,108,0.23
Nitrofurantoin,356,129,2.52
Ibuprofen,126,167,0.73
Norfloxacin,78,120,0.59
Montelukast,460,244,1.52
Lumefantrine,75,292,0.3
Prednisone,249,57,4.89
Pseudoephedrine,307,86,3.85
Lorazepam,58,196,0.33
Spironolactone,369,17,25.69
Olanzapine,83,230,0.36
Ciprofloxacin,114,236,0.4
Salbutamol,362,16,24.4
Alprazolam,120,283,0.36
Ceftriaxone,346,134,2.9
Dexamethasone,2,316,0.01
Haloperidol,483,274,2.04
Ketoconazole,330,320,1.13
Ciprofloxacin,422,169,2.39
Fluoxetine,422,265,1.35
Phenylephrine,46,351,0.13
Metronidazole,352,354,1.03
Hydrochlorothiazide,168,239,0.75
Budesonide,394,44,7.84
Hydrochlorothiazide,180,301,0.5
Simvastatin,65,31,1.7
Tamsulosin,459,320,1.43
Theophylline,286,245,0.96
Mebendazole,271,195,1.65
Granisetron,368,276,1.46
Dexamethasone,14,24,0.47
Theophylline,96,269,0.34
Phenytoin,22,189,0.13
Hydroxychloroquine,275,86,3.24
Ivermectin,274,288,0.92
Lumefantrine,318,104,3.34
Rifampicin,40,300,0.11
Ivermectin,17,323,0.06
Ketoconazole,442,335,1.21
Fluoxetine,283,13,24.3
Chloroquine,388,151,2.06
Cyclizine,478,326,1.4
Chloroquine,271,205,1.28
Simvastatin,188,68,3.18
Ondansetron,65,163,0.34
Pantoprazole,87,22,3.37
Ethambutol,392,128,2.66
Ranitidine,63,140,0.51
Prednisone,364,319,1.26
Granisetron,216,347,0.69
Gabapentin,237,75,3.53
Pseudoephedrine,46,290,0.18
Adrenaline,251,200,1.02
Lorazepam,1,135,0.01
Levofloxacin,52,285,0.19
Simvastatin,3,29,0.12
Diazepam,176,118,1.65
Hydroxychloroquine,467,150,2.59
Risperidone,291,78,4.43
Oseltamivir,284,18,18.34
Nitrofurantoin,140,247,0.62
Dexamethasone,267,84,2.59
Tazobactam,281,151,2.23
Ranitidine,409,360,1.05
Atorvastatin,459,100,4.13
Artemether,190,266,0.68
Spironolactone,345,216,1.54
Tazobactam,343,124,3.15
Spironolactone,171,345,0.41
Clotrimazole,366,71,5.95
Levothyroxine,376,133,3.08
Cetirizine,409,201,1.86
Cetirizine,388,119,2.95
Levofloxacin,235,31,7.12
Risperidone,376,218,1.49
Ranitidine,75,63,1.23
Formoterol,238,318,0.81
Norfloxacin,292,302,0.82
Salmeterol,402,275,1.26
Dexamethasone,69,310,0.2
Hydrochlorothiazide,66,82,0.73
Levothyroxine,70,208,0.37
Diazepam,294,236,1.2
Clopidogrel,326,244,1.59
Clozapine,285,307,0.79
Furosemide,342,270,1.26
Tazobactam,455,302,1.29
Risperidone,325,220,1.4
Theophylline,469,76,6.5
Metronidazole,24,186,0.12
Beclomethasone,300,151,2.09
Tinidazole,456,340,1.33
Meropenem,267,195,1.5
Alprazolam,205,347,0.48
Pseudoephedrine,458,150,2.66
Simvastatin,334,305,1.07
Cetirizine,21,333,0.07
Fentanyl,105,355,0.25
Doxycycline,126,278,0.52
Codeine,145,331,0.39
Beclomethasone,302,36,6.9
Pyrazinamide,99,313,0.31
Carbamazepine,106,185,0.68
Pyrazinamide,100,311,0.36
Codeine,214,135,1.58
Loratadine,102,185,0.51
Azithromycin,22,226,0.08
Quetiapine,44,55,0.92
Tramadol,332,275,1.22
Oseltamivir,499,90,5.62
Norfloxacin,448,201,1.98
Noradrenaline,337,90,4.37
Domperidone,408,297,1.4
Chlorpheniramine,43,19,2.25
Lumefantrine,243,322,0.71
Cyclizine,250,217,1.2
Mebendazole,238,326,0.58
Ethambutol,111,340,0.29
Clotrimazole,402,334,1.37
Alprazolam,263,47,5.88
Tinidazole,35,153,0.23
Valproate,281,280,1.09
Chloroquine,243,281,0.91
Lorazepam,457,259,1.56
